INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 20 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [1: 25/1125]  train_loss=982.6  val_loss=313.7
INFO:Train: [1: 50/1125]  train_loss=39.01  val_loss=196.3
INFO:Train: [1: 75/1125]  train_loss=6.027  val_loss=17.46
INFO:Train: [1: 100/1125]  train_loss=5.45  val_loss=8.181
INFO:Train: [1: 125/1125]  train_loss=8.121  val_loss=8.199
INFO:Train: [1: 150/1125]  train_loss=6.423  val_loss=8.191
INFO:Train: [1: 175/1125]  train_loss=133.9  val_loss=8.153
INFO:Train: [1: 200/1125]  train_loss=3.652  val_loss=8.095
INFO:Train: [1: 225/1125]  train_loss=4.448  val_loss=8.048
INFO:Train: [1: 250/1125]  train_loss=6.093  val_loss=8
INFO:Train: [1: 275/1125]  train_loss=7.334  val_loss=7.642
INFO:Train: [1: 300/1125]  train_loss=6.631  val_loss=7.79
INFO:Train: [1: 325/1125]  train_loss=10.55  val_loss=7.827
INFO:Train: [1: 350/1125]  train_loss=12.79  val_loss=7.813
INFO:Train: [1: 375/1125]  train_loss=3.421  val_loss=7.793
INFO:Train: [1: 400/1125]  train_loss=5.602  val_loss=7.765
INFO:Train: [1: 425/1125]  train_loss=11.34  val_loss=7.705
INFO:Train: [1: 450/1125]  train_loss=8.333  val_loss=7.729
INFO:Train: [1: 475/1125]  train_loss=5.775  val_loss=7.574
INFO:Train: [1: 500/1125]  train_loss=10.51  val_loss=7.421
INFO:Train: [1: 525/1125]  train_loss=17.08  val_loss=12.15
INFO:Train: [1: 550/1125]  train_loss=4.479  val_loss=4.007
INFO:Train: [1: 575/1125]  train_loss=4.802  val_loss=4.138
INFO:Train: [1: 600/1125]  train_loss=1.704  val_loss=3.663
INFO:Train: [1: 625/1125]  train_loss=2.669  val_loss=3.426
INFO:Train: [1: 650/1125]  train_loss=1.655  val_loss=3.148
INFO:Train: [1: 675/1125]  train_loss=3.479  val_loss=2.926
INFO:Train: [1: 700/1125]  train_loss=2.946  val_loss=2.725
