INFO:Train: Start training Gaussian_PnP_ADMM_2iters_MultiEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 10 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [1: 25/1125]  train_loss=1.858  val_loss=2.709
INFO:Train: [1: 50/1125]  train_loss=1.613  val_loss=2.51
INFO:Train: [1: 75/1125]  train_loss=1.595  val_loss=2.906
INFO:Train: [1: 100/1125]  train_loss=1.811  val_loss=2.386
INFO:Train: [1: 125/1125]  train_loss=3.165  val_loss=1.966
INFO:Train: [1: 150/1125]  train_loss=1.462  val_loss=2.108
INFO:Train: [1: 175/1125]  train_loss=2.462  val_loss=2.112
INFO:Train: [1: 200/1125]  train_loss=1.919  val_loss=3.387
INFO:Train: [1: 225/1125]  train_loss=3.412  val_loss=2.11
INFO:Train: [1: 250/1125]  train_loss=3.97  val_loss=3.879
INFO:Train: [1: 275/1125]  train_loss=2.996  val_loss=2.001
INFO:Train: [1: 300/1125]  train_loss=1.401  val_loss=1.589
INFO:Train: [1: 325/1125]  train_loss=0.9145  val_loss=1.365
INFO:Train: [1: 350/1125]  train_loss=1.005  val_loss=1.362
INFO:Train: [1: 375/1125]  train_loss=1.328  val_loss=1.559
INFO:Train: [1: 400/1125]  train_loss=1.112  val_loss=1.371
INFO:Train: [1: 425/1125]  train_loss=1.08  val_loss=1.002
INFO:Train: [1: 450/1125]  train_loss=1.556  val_loss=0.9574
INFO:Train: [1: 475/1125]  train_loss=1.378  val_loss=2.177
INFO:Train: [1: 500/1125]  train_loss=1.717  val_loss=1.688
INFO:Train: [1: 525/1125]  train_loss=1.194  val_loss=1.438
INFO:Train: [1: 550/1125]  train_loss=1.521  val_loss=1.348
INFO:Train: [1: 575/1125]  train_loss=2.129  val_loss=1.832
INFO:Train: [1: 600/1125]  train_loss=1.038  val_loss=1.366
INFO:Train: [1: 625/1125]  train_loss=2.029  val_loss=1.197
INFO:Train: [1: 650/1125]  train_loss=1.006  val_loss=1.313
INFO:Train: [1: 675/1125]  train_loss=1.774  val_loss=1.416
INFO:Train: [1: 700/1125]  train_loss=0.8629  val_loss=0.8955
INFO:Train: [1: 725/1125]  train_loss=0.7261  val_loss=0.7124
INFO:Train: [1: 750/1125]  train_loss=0.7645  val_loss=0.7251
INFO:Train: [1: 775/1125]  train_loss=0.7425  val_loss=0.7634
INFO:Train: [1: 800/1125]  train_loss=0.7124  val_loss=0.7409
INFO:Train: [1: 825/1125]  train_loss=0.7282  val_loss=0.7661
INFO:Train: [1: 850/1125]  train_loss=0.704  val_loss=0.6985
INFO:Train: [1: 875/1125]  train_loss=0.6585  val_loss=0.6795
INFO:Train: [1: 900/1125]  train_loss=0.7131  val_loss=0.6781
INFO:Train: [1: 925/1125]  train_loss=0.6792  val_loss=0.6836
INFO:Train: [1: 950/1125]  train_loss=0.6612  val_loss=0.683
INFO:Train: [1: 975/1125]  train_loss=0.6562  val_loss=0.6785
INFO:Train: [1: 1000/1125]  train_loss=0.6906  val_loss=0.6785
INFO:Train: [1: 1025/1125]  train_loss=0.6572  val_loss=0.6792
INFO:Train: [1: 1050/1125]  train_loss=0.6747  val_loss=0.6789
INFO:Train: [1: 1075/1125]  train_loss=0.6807  val_loss=0.6791
INFO:Train: [1: 1100/1125]  train_loss=0.6585  val_loss=0.6776
INFO:Train: [1: 1125/1125]  train_loss=0.6628  val_loss=0.6784
INFO:Train: [1: 1125/1125]  train_loss=0.678  val_loss=0.6784
INFO:Train: Model saved to ./saved_models_ellipse_loss/Gaussian_PnP_ADMM_2iters_MultiEllipse_1epochs.pth
INFO:Train: [2: 25/1125]  train_loss=0.6304  val_loss=0.6777
INFO:Train: [2: 50/1125]  train_loss=0.6573  val_loss=0.6786
INFO:Train: [2: 75/1125]  train_loss=0.6946  val_loss=0.6782
INFO:Train: [2: 100/1125]  train_loss=0.6527  val_loss=0.6774
INFO:Train: [2: 125/1125]  train_loss=0.6849  val_loss=0.6802
INFO:Train: [2: 150/1125]  train_loss=0.7295  val_loss=0.6863
INFO:Train: [2: 175/1125]  train_loss=0.6771  val_loss=0.6804
INFO:Train: [2: 200/1125]  train_loss=0.6708  val_loss=0.6796
INFO:Train: [2: 225/1125]  train_loss=0.6751  val_loss=0.6788
INFO:Train: [2: 250/1125]  train_loss=0.7522  val_loss=0.6802
INFO:Train: [2: 275/1125]  train_loss=0.6736  val_loss=0.6804
INFO:Train: [2: 300/1125]  train_loss=0.7134  val_loss=0.6779
INFO:Train: [2: 325/1125]  train_loss=0.6483  val_loss=0.6772
INFO:Train: [2: 350/1125]  train_loss=0.66  val_loss=0.6786
INFO:Train: [2: 375/1125]  train_loss=0.728  val_loss=0.678
INFO:Train: [2: 400/1125]  train_loss=0.6805  val_loss=0.6776
INFO:Train: [2: 425/1125]  train_loss=0.6758  val_loss=0.6795
INFO:Train: [2: 450/1125]  train_loss=1.936  val_loss=1.247
INFO:Train: [2: 475/1125]  train_loss=0.8502  val_loss=0.927
INFO:Train: [2: 500/1125]  train_loss=0.6624  val_loss=0.7255
INFO:Train: [2: 525/1125]  train_loss=0.6936  val_loss=0.6911
INFO:Train: [2: 550/1125]  train_loss=0.6506  val_loss=0.6786
INFO:Train: [2: 575/1125]  train_loss=0.6664  val_loss=0.6791
INFO:Train: [2: 600/1125]  train_loss=0.6243  val_loss=0.6789
INFO:Train: [2: 625/1125]  train_loss=0.6888  val_loss=0.6781
INFO:Train: [2: 650/1125]  train_loss=0.6812  val_loss=0.6779
INFO:Train: [2: 675/1125]  train_loss=0.6878  val_loss=0.6779
INFO:Train: [2: 700/1125]  train_loss=0.6615  val_loss=0.6778
INFO:Train: [2: 725/1125]  train_loss=0.6605  val_loss=0.6778
INFO:Train: [2: 750/1125]  train_loss=0.6816  val_loss=0.678
INFO:Train: [2: 775/1125]  train_loss=0.6892  val_loss=0.6778
INFO:Train: [2: 800/1125]  train_loss=0.6621  val_loss=0.6778
INFO:Train: [2: 825/1125]  train_loss=0.6178  val_loss=0.6779
INFO:Train: [2: 850/1125]  train_loss=0.6744  val_loss=0.6778
INFO:Train: [2: 875/1125]  train_loss=0.6817  val_loss=0.6779
INFO:Train: [2: 900/1125]  train_loss=0.7381  val_loss=0.6779
INFO:Train: [2: 925/1125]  train_loss=0.6511  val_loss=0.6778
INFO:Train: [2: 950/1125]  train_loss=0.7049  val_loss=0.6778
INFO:Train: [2: 975/1125]  train_loss=0.6576  val_loss=0.6778
INFO:Train: [2: 1000/1125]  train_loss=0.6954  val_loss=0.6778
INFO:Train: [2: 1025/1125]  train_loss=0.6875  val_loss=0.6778
INFO:Train: [2: 1050/1125]  train_loss=0.6865  val_loss=0.6782
INFO:Train: [2: 1075/1125]  train_loss=0.6834  val_loss=0.6779
INFO:Train: [2: 1100/1125]  train_loss=0.6613  val_loss=0.6779
INFO:Train: [2: 1125/1125]  train_loss=0.6915  val_loss=0.6778
INFO:Train: [2: 1125/1125]  train_loss=0.6774  val_loss=0.6778
INFO:Train: Model saved to ./saved_models_ellipse_loss/Gaussian_PnP_ADMM_2iters_MultiEllipse_2epochs.pth
INFO:Train: [3: 25/1125]  train_loss=0.725  val_loss=0.6778
INFO:Train: [3: 50/1125]  train_loss=0.6498  val_loss=0.6778
INFO:Train: [3: 75/1125]  train_loss=0.7373  val_loss=0.6779
INFO:Train: [3: 100/1125]  train_loss=0.6363  val_loss=0.6778
INFO:Train: [3: 125/1125]  train_loss=0.6707  val_loss=0.6779
INFO:Train: [3: 150/1125]  train_loss=0.7347  val_loss=0.6778
INFO:Train: [3: 175/1125]  train_loss=0.6763  val_loss=0.6779
INFO:Train: [3: 200/1125]  train_loss=0.6514  val_loss=0.6779
INFO:Train: [3: 225/1125]  train_loss=0.6787  val_loss=0.6779
INFO:Train: [3: 250/1125]  train_loss=0.6637  val_loss=0.6778
INFO:Train: [3: 275/1125]  train_loss=0.691  val_loss=0.6778
INFO:Train: [3: 300/1125]  train_loss=0.6725  val_loss=0.6778
INFO:Train: [3: 325/1125]  train_loss=0.7013  val_loss=0.6778
INFO:Train: [3: 350/1125]  train_loss=0.6837  val_loss=0.6778
INFO:Train: [3: 375/1125]  train_loss=0.6954  val_loss=0.6778
INFO:Train: [3: 400/1125]  train_loss=0.6675  val_loss=0.6778
INFO:Train: [3: 425/1125]  train_loss=0.6787  val_loss=0.6778
INFO:Train: [3: 450/1125]  train_loss=0.6886  val_loss=0.6778
INFO:Train: [3: 475/1125]  train_loss=0.6759  val_loss=0.6778
INFO:Train: [3: 500/1125]  train_loss=0.6984  val_loss=0.6778
INFO:Train: [3: 525/1125]  train_loss=0.6855  val_loss=0.6778
INFO:Train: [3: 550/1125]  train_loss=0.6591  val_loss=0.6779
INFO:Train: [3: 575/1125]  train_loss=0.6998  val_loss=0.6779
INFO:Train: [3: 600/1125]  train_loss=0.6712  val_loss=0.6778
INFO:Train: [3: 625/1125]  train_loss=0.6769  val_loss=0.6779
INFO:Train: [3: 650/1125]  train_loss=0.6773  val_loss=0.6779
INFO:Train: [3: 675/1125]  train_loss=0.6663  val_loss=0.6779
INFO:Train: [3: 700/1125]  train_loss=0.6703  val_loss=0.6779
INFO:Train: [3: 725/1125]  train_loss=0.7021  val_loss=0.6778
INFO:Train: [3: 750/1125]  train_loss=0.702  val_loss=0.6779
INFO:Train: [3: 775/1125]  train_loss=0.6891  val_loss=0.6778
INFO:Train: [3: 800/1125]  train_loss=0.6767  val_loss=0.6779
INFO:Train: [3: 825/1125]  train_loss=0.6697  val_loss=0.6778
INFO:Train: [3: 850/1125]  train_loss=0.6631  val_loss=0.6779
INFO:Train: [3: 875/1125]  train_loss=0.6224  val_loss=0.6778
