INFO:Train: Start training Gaussian_PnP_ADMM_2iters_BestEllipse on /home/michaelbertagna/git/Galaxy-Deconv/simulated_datasets/LSST_23.5_deconv data for 10 epochs.
INFO:Dataset: Successfully constructed train dataset. Total Samples: 40000.
/home/michaelbertagna/git/Galaxy-Deconv/Galaxy-Deconv.env/lib/python3.11/site-packages/torch/functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3595.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
INFO:Train: [1: 25/1125]  train_loss=6344  val_loss=1.371e+05
INFO:Train: [1: 50/1125]  train_loss=2.555e+04  val_loss=1.289e+08
INFO:Train: [1: 75/1125]  train_loss=7337  val_loss=2.564e+06
INFO:Train: [1: 100/1125]  train_loss=1387  val_loss=2.539e+05
INFO:Train: [1: 125/1125]  train_loss=874.1  val_loss=1.329e+06
INFO:Train: [1: 150/1125]  train_loss=3.46e+05  val_loss=1.03e+08
INFO:Train: [1: 175/1125]  train_loss=240.3  val_loss=8.371e+05
INFO:Train: [1: 200/1125]  train_loss=8.534e+05  val_loss=3.167e+05
INFO:Train: [1: 225/1125]  train_loss=1.245e+04  val_loss=1.589e+06
INFO:Train: [1: 250/1125]  train_loss=620.4  val_loss=1.912e+05
INFO:Train: [1: 275/1125]  train_loss=2189  val_loss=1.176e+04
INFO:Train: [1: 300/1125]  train_loss=6544  val_loss=2.789e+04
INFO:Train: [1: 325/1125]  train_loss=2.375e+05  val_loss=3.667e+07
INFO:Train: [1: 350/1125]  train_loss=8.012e+04  val_loss=2.262e+06
INFO:Train: [1: 375/1125]  train_loss=1343  val_loss=3.587e+05
INFO:Train: [1: 400/1125]  train_loss=2.228e+04  val_loss=3.686e+05
INFO:Train: [1: 425/1125]  train_loss=5.113e+04  val_loss=6.331e+07
INFO:Train: [1: 450/1125]  train_loss=7.915e+04  val_loss=4.103e+06
INFO:Train: [1: 475/1125]  train_loss=2.438e+04  val_loss=1.077e+04
INFO:Train: [1: 500/1125]  train_loss=5.467e+05  val_loss=1.508e+05
INFO:Train: [1: 525/1125]  train_loss=0.8022  val_loss=798.6
INFO:Train: [1: 550/1125]  train_loss=0.5281  val_loss=6262
INFO:Train: [1: 575/1125]  train_loss=9090  val_loss=5298
INFO:Train: [1: 600/1125]  train_loss=60.58  val_loss=9.437e+04
INFO:Train: [1: 625/1125]  train_loss=1.883  val_loss=2.004
INFO:Train: [1: 650/1125]  train_loss=7.886  val_loss=391.7
INFO:Train: [1: 675/1125]  train_loss=2.072e+04  val_loss=5877
INFO:Train: [1: 700/1125]  train_loss=8597  val_loss=5.75e+06
INFO:Train: [1: 725/1125]  train_loss=4059  val_loss=814.9
INFO:Train: [1: 750/1125]  train_loss=69  val_loss=621.9
INFO:Train: [1: 775/1125]  train_loss=1.058  val_loss=4.666e+04
